year,filename,overall_mean,north_mean,center_mean,south_mean,WSI
2010,2010R.tif,358.48047753384236,145.12870337528253,367.5847504479544,430.7008949180702,0.0
2011,2011R.tif,200.4311080920069,65.87227558639815,185.79385897091456,281.55081141087913,44.08869641357661
2012,2012R.tif,351.67602381894466,100.98015289786476,328.391572588966,495.8521139566,1.8981378739809651
2013,2013R.tif,261.26310183813695,86.23974472621701,243.57614265169417,364.4172586019937,27.119294295887453
2014,2014R.tif,236.40670249022935,62.04925112454397,210.2789507366362,354.0188685825893,34.053116611374925
2015,2015R.tif,245.4690518943887,82.99526919958727,216.57554209799991,363.000922106458,31.525126951658
2016,2016R.tif,295.83847821072527,95.43727502882857,274.279909043085,416.2310750589742,17.474312619214626
2017,2017R.tif,226.64381782004708,71.21451630982213,205.55681361470903,327.64050812163913,36.776524239412524
2018,2018R.tif,256.81130842786087,81.58510191335618,226.2728711650485,382.4809101847859,28.361145300132396
2019,2019R.tif,187.79930934780523,54.23434323484793,159.36350215049018,292.5933146687297,47.612402594482695
2020,2020R.tif,354.37038252541896,86.30974403717234,316.8400144349961,530.5834964900822,1.1465324518363462
2021,2021R.tif,227.16898135762463,65.85710667064355,211.38973297391615,321.33065145913656,36.63002712994915
2022,2022R.tif,315.1773766592929,92.4679882121536,264.1890259016128,496.1513103534649,12.079625973624019
2023,2023R.tif,249.56303961967168,82.34725474711485,221.9639009521121,366.7940291763901,30.383087710512303
